time,"V(VIN)","I(ROUT)","P(B01)","P(B02)"
6.850000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
6.875000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
6.900000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
6.925000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
6.950000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
6.975000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.000000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.025000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.050000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.075000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.100000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.125000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.150000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.175000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.200000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.225000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.250000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.275000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.300000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.325000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.350000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.375000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.400000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.425000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.450000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.475000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.500000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.525000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.550000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.575000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.600000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.625000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.650000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.675000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.700000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.725000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.750000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
